file,field,ground_truth,prediction
002.txt,doi,https://dx.doi.org/10.1037/xge0000528,check
002.txt,n_nodes,10.0,12
002.txt,data_declared_available,No,1
002.txt,limitations,"- Sample is limited to undergraduate psychology students;- Low levels of depression symptoms, loneliness, and stress in the sample;- Potential bias due to participants being aware of the study's purpose.",- Student sample (non-clinical); - Potential recall bias; - Self-reported PSMU may not reflect actual use; - Data not fully meeting multivariate normality assumptions; - No formal test for centrality differences; - Limited age range; - No logistic regression for non-normal data.
002.txt,notes,The study's findings may not generalize beyond the specific demographic of Dutch undergraduate psychology students.,"The paper does not provide a DOI. The authors state that data, materials, and code are available in the Supplementary Materials. Preregistration status is not explicitly mentioned, but the authors note that the study design was discussed in lab meetings and orally presented, which may imply informal preregistration. The network estimation used mlVAR, and the authors consulted with the package author to resolve issues with between-subjects correlations."
003.txt,collection_device,"Palmtop (Psymate) - (reported in previous article; Kramer et al., 2014)",Smartphone
003.txt,network_types_contemporaneous,No,"contemporaneous network, temporal network"
003.txt,network_types_between_person,Yes (they call it a person-mean network),"contemporaneous network, temporal network"
003.txt,centrality_test,No,1
003.txt,notes,The country of data collection was inferred from the authors' affiliations. The collection device was not specified in the paper.,"The paper does not explicitly state whether code or data are publicly available. No preregistration is mentioned. The authors used STATA for estimation and R for visualization, but no specific estimation packages are cited."
004.txt,sample_type,Non-clinical (i.e. healthy),Clinical & health-related
004.txt,estimation_packages,nan,qgraph 1.6.9
004.txt,centrality_test,No,1
004.txt,limitations,"- Lack of generalizability due to sample being undergraduates from Belgium; - Limited number of emotions assessed, especially positive emotions; - Only unique effects of edges are considered, possibly missing explained variance; - Spurious relationships in networks due to not capturing full emotional processes; - Correlational study design; experimental setup needed.",- Limited generalizability due to undergraduate sample in Belgium; - Centrality measures may be subject to sampling error; - No formal preregistration of hypotheses/methods.
004.txt,notes,Estimation packages used for network estimation were not specified in the paper; The collection device for Dataset 2 was assumed to be 'Palmtop' based on similarity with Dataset 1.,"The paper does not mention preregistration, but code and data are declared available. The authors used Matlab and Mplus for multilevel analyses, but R and qgraph for network visualization and centrality measures."
005.txt,collection_device,"Computer (reported in previous article; Lemmens et al., 2011)",Paper and pen
005.txt,n_timepoints,1 / week - (before each therapy session),14 sessions (average)
005.txt,n_days,3-20 (M = 14),20 weeks
005.txt,estimation_packages,N/S,qgraph 0.4.10
005.txt,centrality_test,No,1
005.txt,limitations,- Results are based solely on depressed individuals; comparison with healthy individuals is needed;- The data were collected at weekly intervals; different time scales might produce different dynamics,- Small sample size; - Lack of diversity in sample; - Limited to two therapy groups; - BDI-II may not capture differences between therapies; - No person-specific network analysis due to computational constraints
006.txt,country,Netherlands; Belgium,"Belgium, The Netherlands, The Netherlands, The Netherlands, The Netherlands"
006.txt,collection_device,Digital watch; Paper and pen; palmtops (for validation study),Smartphone
006.txt,n_timepoints,Main sample: 10; Validation sample: 11,11 times a day
006.txt,network_types_temporal,Yes,contemporaneous network
006.txt,notes,I am not sure whether the authors checked for potential redundancy between nodes before running the network model.,The paper does not mention preregistration. Code and data are declared available in supplementary materials. The validation dataset was from a different population (university students) and may not fully replicate findings.
007.txt,n_days,56.0,8 weeks
007.txt,notes,The study highlights the need for future research to explore the dynamics of affect in clinical samples with more frequent data collection.,The paper does not explicitly state whether code or data are publicly available. The authors mention supplementary materials but do not specify availability of code or data. Preregistration status is not mentioned in the paper.
008.txt,estimation_packages,"nlme (for multilevel VAR models)

Amelia (for multiple imputation of data points, for sparse VAR models)",glmnet 4.1-3
008.txt,network_types_contemporaneous,Yes,temporal network
008.txt,visualisation_packages,N/S,qgraph 1.6.9
008.txt,code_declared_available,No,1
008.txt,notes,"Uncertain about the estimation packages used, as the paper does not explicitly mention which R packages were used for network estimation. Also, it is unclear whether the authors checked for potential redundancy between nodes before running the network model.",The paper does not explicitly state whether it was preregistered. Code is available from the first author. Data is available at the University of Groningen data repository.
009.txt,sample_size,41.0,42 participants
009.txt,network_types_temporal,Yes,contemporaneous network
009.txt,network_types_contemporaneous,No ,contemporaneous network
009.txt,code_declared_available,No,1
009.txt,notes,"The study highlights the idiographic nature of symptom dynamics, suggesting that individual symptom relationships may differ significantly.","The paper does not explicitly state whether the study was preregistered. Code for the analysis is declared available, but data availability is not explicitly stated. The authors used GIMME, which is a novel method for identifying dynamic patterns in EMA data, and the results suggest that symptom dynamics are largely idiographic rather than nomothetic."
010.txt,redundancy,Yes (theoretically checked),0
010.txt,network_types_between_person,Yes,"temporal network, contemporaneous network"
010.txt,data_declared_available,No,1
010.txt,notes,"The study primarily focuses on the dynamic associations during a specific conflict, which may not generalize to other contexts.",The study used ESM with smartphone data collection. The code for analysis is available in supplementary materials. The data are not publicly available. The study was not preregistered.
011.txt,notes,"Unsure whether the code used in the analysis was publicly available, as the paper provided an OSF link but did not explicitly state code availability.","The paper does not mention preregistration. Code and data availability are not explicitly stated in the main text, but supplementary materials may contain them. The authors note limitations regarding sample generalizability and model assumptions."
012.txt,estimation_packages,nan,Stata version 14
012.txt,code_declared_available,No,1
012.txt,data_declared_available,No,1
012.txt,notes,"The study's findings may not generalize to all patients with depression, particularly those who have fully recovered.","The paper does not explicitly state whether it was preregistered. However, the supplementary materials mention the use of permutation testing code developed by Wolfgang Viechtbauer, which suggests methodological transparency. The code is declared available in the supplementary materials. Data are declared available in the online version with DOI: 10.1016/j.psychres.2018.12.054."
013.txt,sample_size,"Low CT (n = 229); Medium CT (n = 258); High CT (n = 201); Low GL ( n = 452); Medium GL (n = 90); High GL (n = 56) - The authors looked at temporal affect data in six networks, by categorizing 3 levels each of genetic liability to psychopathology (GL) and childhood trauma (CT)",704 individuals
013.txt,sample_type,Non-clinical (i.e. healthy),Clinical & health-related
013.txt,code_declared_available,No,1
013.txt,data_declared_available,No,1
013.txt,notes,I am not sure whether the authors checked for potential redundancy between nodes before running the network model.,"The paper does not explicitly mention preregistration, but it is a replication study. Code and data availability is declared in the paper, but no specific links or repositories are provided."
014.txt,network_types_between_person,Yes,"temporal network, contemporaneous network, between-subjects network"
014.txt,preregistered_yn,No,1
014.txt,code_declared_available,No,1
014.txt,data_declared_available,No,1
014.txt,notes,"The paper discusses the conceptual overlap between resilience and positive affect, which may warrant further investigation.","The study used a pre-registered protocol on OSF (osf.io/g2k4w). The code and data are declared available, but specific links or repositories are not provided in the paper. The centrality test was based on visual inspection, not formal statistical testing."
015.txt,sample_size,CBT treatment (n = 33); MCT treatment (n = 34),74 participants
015.txt,collection_device,N/S,Paper and pen
015.txt,n_timepoints,1 / week,Every Monday
015.txt,notes,"The paper did not specify the device used for data collection; there may be confusion regarding the visualization packages used, as they mention ggraph but reference qgraph; unsure about declaration of code availability.","The paper does not explicitly state whether code or data are publicly available. The authors mention that no replication dataset was available at the time of writing. The study used a weekly measurement schedule, which may not capture rapid within-person dynamics. The centrality indices were reported but not formally tested for significance across networks."
016.txt,collection_device,Smartphone,Psymate
016.txt,redundancy,Yes (statistically checked),0
016.txt,network_types_between_person,Yes,"temporal network, contemporaneous network, between-persons network"
016.txt,centrality_test,No,1
016.txt,data_declared_available,No,1
016.txt,notes,The study's findings may not apply to individuals with less severe AVHs.,"The paper does not explicitly mention preregistration. Code and data are declared available in the Online Supplementary Materials, but verification of availability is required. The study used a convenience sample, which may limit generalizability."
017.txt,n_timepoints,1.0,46.9 days (SD = 10.38)
017.txt,n_nodes,11.0,10
017.txt,centrality_test,No,1
017.txt,code_declared_available,No,1
017.txt,notes,"I am not sure whether the authors checked for redundancy between nodes before running the network model. Additionally, it is unclear if the code used for analysis is publicly available.",The paper does not mention preregistration. Code is declared available but no direct link is provided. Data availability is not explicitly stated as available in public repositories.
018.txt,country,"Netherlands, Belgium (as reported in previous articles)","The Netherlands, Belgium, The Netherlands"
018.txt,sample_size,Control network (n = 244); Relative network (n = 165); Psychosis network (n = 245),654 participants
018.txt,centrality_test,No,1
018.txt,data_declared_available,No,1
018.txt,notes,"The study combines data from multiple studies, which may introduce variability in results.","The paper does not explicitly state whether the study was preregistered. Code and data are declared available in supplementary materials, but specific links are not provided in the text. The authors used permutation testing for significance, which is computationally intensive and does not allow for standard confidence intervals."
019.txt,collection_device,Smartphone,Mobile application
019.txt,n_days,7.0,1 week (28 assessment points)
019.txt,n_nodes,10.0,11
019.txt,network_types_between_person,Yes,"temporal network, contemporaneous network, between-subjects network, intraindividual network"
019.txt,centrality_test,No,1
019.txt,limitations,- Small sample size;- Few assessment points (28);- Limited generalizability due to sample characteristics,- Small sample size; - Limited number of assessment points (28); - No formal recommendations for choosing symptoms for network analysis; - No established psychometric properties for EMA measures used; - Lack of replicability of within-person networks; - Potential instability in network structures; - Time-frame limitations in capturing dynamic relationships
019.txt,notes,The paper discusses the need for larger sample sizes and more assessment points for future research.,"The paper does not explicitly state whether the study was preregistered. Code and data availability are not clearly declared in the paper, but supplementary materials or code may be available through the authors or OSF. The study is a proof-of-concept and findings should be interpreted cautiously due to methodological limitations."
020.txt,redundancy,Yes (statistically checked),0
020.txt,centrality_test,No,1
020.txt,code_declared_available,No,1
020.txt,data_declared_available,No,1
020.txt,notes,I am not certain whether the authors used a formal statistical test to compare centrality estimates between groups.,The paper does not mention preregistration. Code and data availability is declared but not explicitly linked to a repository. The study is a proof-of-concept with limited generalizability.
021.txt,notes,The paper discusses the exploratory nature of the network analysis and the limitations associated with it.,"The paper does not mention preregistration. Code availability is not explicitly stated, but the authors mention that supplementary data can be found at the DOI link. Data availability is not declared in the paper."
022.txt,redundancy,Yes (statistically checked),0
022.txt,estimation_packages,lmerTEST,"simr 1.0.0, lme4 1.1-14"
022.txt,preregistered_yn,No,1
023.txt,title,Emotion-Network Density in Major Depressive Disorder,Emotion Network in Major Depressive Disorder
023.txt,country,United States,"USA, Belgium"
023.txt,collection_device,PDA (personal digital assistant),Palmtop
023.txt,software,N/S,R
023.txt,notes,"The study focuses on individuals currently diagnosed with MDD, which may limit generalizability.","The paper does not mention preregistration. Code and data availability are not explicitly stated, but the authors may have made them available through supplementary materials or repositories. The network estimation was conducted using multilevel models, but specific R packages for network estimation are not mentioned."
024.txt,n_nodes,7.0,16
024.txt,notes,I was unsure whether the authors checked for redundancy between nodes before running the network model; the paper did not mention preregistration or data/code availability explicitly.,"The paper does not explicitly state whether the study was preregistered. Code and data availability are not clearly declared in the main text, though supplementary materials or repositories may exist. The authors mention using mlVAR and qgraph packages in R, but do not specify versions or whether code is publicly available."
025.txt,sample_size,"Imipramine RCT: Medication (n = 23), Placebo (n =27); Mindfulness RCT: MBCT (n = 57), waiting list control (n = 62)",Imipramine trial: 50 participants; Mind-Maastricht trial: 119 participants
025.txt,n_timepoints,10.0,60 observations per person over 6 days
025.txt,redundancy,Yes (statistically checked),0
025.txt,code_declared_available,"No (code available only for permutation tests, not for network estimation itself)",1
025.txt,data_declared_available,No,1
025.txt,notes,The study suggests that treatments may not significantly change the dynamic network structure of mental states despite reducing depressive symptoms.,"The paper does not explicitly state whether the study was preregistered. However, the authors mention using permutation testing procedures and provide R scripts in supplementary materials, suggesting methodological transparency. Code and data are declared available in supplementary materials."
026.txt,collection_device,Smartphone,Computer
026.txt,network_types_temporal,Yes,contemporaneous network
026.txt,network_types_contemporaneous,No,contemporaneous network
026.txt,centrality_test,No,1
026.txt,preregistered_yn,No,1
027.txt,country,Netherlands & Belgium,"The Netherlands, UK"
027.txt,collection_device,Digital watch,Palmtop
027.txt,network_types_contemporaneous,No,contemporaneous network
027.txt,notes,The study highlights the complexity of mental disorders and suggests a network approach for better understanding.,"The paper does not mention preregistration. Code and data availability are not explicitly stated in the main text, but supplementary materials may contain them. The network estimation used multilevel regression models, not specific network estimation packages like 'qgraph' for estimation, though visualization used 'qgraph'."
028.txt,redundancy,Yes (statistically checked),0
028.txt,network_types_between_person,Yes,"temporal network, contemporaneous network, between-subject network"
028.txt,preregistered_yn,No,1
028.txt,notes,"I was unsure whether the authors checked for potential redundancy between nodes before running the network model. Also, it is unclear if the study was preregistered.","The study was part of a larger randomized controlled trial registered at ClinicalTrials.gov. The data, ESM items, and R code are publicly available via the Open Science Framework (OSF) at https://osf.io/7tk4b/. The study used a mixed platform for ESM data collection (PACO APP initially, then Qualtrics)."
029.txt,sample_size,Low level of childhood trauma group (n = 9); No childhood trauma group (n =15),24 participants
029.txt,estimation_packages,nan,Stata version 13
029.txt,centrality_test,No,1
029.txt,data_declared_available,Yes,check
029.txt,notes,The study highlights the need for further research including patients with moderate or high trauma experiences.,"The paper does not explicitly state whether code or data are available. The authors mention that supplementary data can be found online, but do not confirm availability of code or raw data. Preregistration status is not mentioned in the paper."
030.txt,sample_size,Delayed Sleep Phase/DSP (n = 172); non-DSP group (n = 143),315 participants
030.txt,sample_type,Non-clinical (i.e. healthy),Clinical & health-related
030.txt,collection_device,Smartphone,Psymate
030.txt,network_types_between_person,Yes,"temporal network, contemporaneous network"
030.txt,centrality_test,No,1
030.txt,code_declared_available,No,1
030.txt,data_declared_available,No,1
030.txt,notes,The study's definition of DSP may not capture the full complexity of the disorder.,"The paper does not explicitly state preregistration status, but the study was registered under Clinical Trials (ID: 1287174). Code and data are declared available in supplementary materials."
031.txt,sample_type,Non-clinical (i.e. healthy),Clinical & health-related
031.txt,n_nodes,6.0,9
031.txt,code_declared_available,No,1
031.txt,data_declared_available,No,1
