file,title,doi,country,sample_size,sample_type,collection_device,n_timepoints,n_days,n_nodes,redundancy,software,estimation_packages,network_types_temporal,network_types_contemporaneous,network_types_between_person,centrality_test,visualisation_packages,preregistered_yn,code_declared_available,data_declared_available,limitations,notes
002.txt,Social Media and Depression Symptoms: A Network Perspective,https://dx.doi.org/10.1037/xge0000528,Netherlands,125.0,Non-clinical (i.e. healthy),Smartphone,7.0,14.0,10.0,No,R,mlVAR,Yes,Yes,Yes,No,qgraph,No,Yes,No,"- Sample is limited to undergraduate psychology students;- Low levels of depression symptoms, loneliness, and stress in the sample;- Potential bias due to participants being aware of the study's purpose.",The study's findings may not generalize beyond the specific demographic of Dutch undergraduate psychology students.
003.txt,Can We Jump from Cross-Sectional to Dynamic Interpretations of Networks? Implications for the Network Perspective in Psychiatry,https://doi.org/10.1159/000453583,Netherlands,104.0,Clinical & health-related,"Palmtop (Psymate) - (reported in previous article; Kramer et al., 2014)",10.0,5.0,7.0,No,"R, STATA (v14.1)",,Yes,No,Yes (they call it a person-mean network),No,igraph,No,No,No,N/S,The country of data collection was inferred from the authors' affiliations. The collection device was not specified in the paper.
004.txt,Assessing Temporal Emotion Dynamics Using Networks,https://doi.org/10.1177/1073191116645909,Belgium,Dataset #1 (n = 95); Dataset #2 (n = 79) - They estimated two network (but not completely the same) from 2 different datasets,Non-clinical (i.e. healthy),Palmtop computer (Palm Tungsten E2),10.0,Dataset #1 (7 days); Dataset #2 (14 days),dataset #1: 6; dataset #2: 10,No,"R, Matlab, Mplus (They ran multilevel analyses twice in both Matlab and Mplus,to reduce the likelihood of errors; these were performed by different researchers)",N/A,Yes,No,No,No,qgraph (1.3.1),No,Yes,"Yes, Just for Dataset #1 (in Supplemental Materials)","- Lack of generalizability due to sample being undergraduates from Belgium; - Limited number of emotions assessed, especially positive emotions; - Only unique effects of edges are considered, possibly missing explained variance; - Spurious relationships in networks due to not capturing full emotional processes; - Correlational study design; experimental setup needed.",Estimation packages used for network estimation were not specified in the paper; The collection device for Dataset 2 was assumed to be 'Palmtop' based on similarity with Dataset 1.
005.txt,Revealing the dynamic network structure of the Beck Depression Inventory-II,https://doi.org/10.1017/S0033291714001809,Netherlands,"Sample = 182 (They pool 2 samples of patients with MDD undergoing 2 types of treatment, and to make sure there is no difference in network structure between samples, they compute 2 networks and cross-correlate their network links + compare 1 model with pooled sample vs 2 separate models and compare their BICs, concluding there is no difference in network structure. The sample sizes are cognitive therapy (n = 99); interpersonal therapy (n = 83)",Clinical & health-related,"Computer (reported in previous article; Lemmens et al., 2011)",1 / week - (before each therapy session),3-20 (M = 14),21.0,No,R,N/S,Yes,No,No,No,qgraph (0.4.1),No,No,No,- Results are based solely on depressed individuals; comparison with healthy individuals is needed;- The data were collected at weekly intervals; different time scales might produce different dynamics,"I am not sure whether the authors checked for potential redundancy between nodes before running the network model. Also, there is no mention of preregistration or data/code availability in the paper."
006.txt,A Network Approach to Psychopathology: New Insights into Clinical Longitudinal Data,https://doi.org/10.1371/journal.pone.0060188,Netherlands; Belgium,Main sample (n = 129); Validation sample (n = 97),"Clinical & health-related, Non-clinical (i.e. healthy)",Digital watch; Paper and pen; palmtops (for validation study),Main sample: 10; Validation sample: 11,"Dataset #1 (12 days - 6 baseline, and 6 post); 

Dataset #2 (7 days)","Main dataset: 6; 

Validation dataset: 5",No,R,lme4,Yes,No,No,Yes,qgraph,No,Yes,Yes,"- The assumption of equally spaced time points is slightly violated due to the quasi-random beeping schedule;- Reduction in usable data points due to deletion of first measurement of each day;- Partial non-stationarity in the data;- Potential lack of power to detect small effects on network structure, especially after correcting for multiple testing.",I am not sure whether the authors checked for potential redundancy between nodes before running the network model.
007.txt,Network dynamics of positive and negative affect in bipolar disorder,https://doi.org/10.1016/j.jad.2019.02.017,United States,Clinical group with bipolar disorder (n = 32); Healthy control participants (n = 36),"Clinical & health-related, Non-clinical (i.e. healthy)","Paper and pen for questionnaires (reported in previous article, Gershon et al., 2012); actiwatch for actigraphy (from Respironics)",1.0,56.0,10.0,No,R,"mlVAR

lme4 (for autocorrelation multilevel models, used to investigate temporal autocorrelation)",Yes,No,No,Yes,N/S,No,No,No,- Ratings of affect were collected once per day across the study period;- Focus on inter-episode status precluded examination of predictors of episode relapse;- Sample size not large enough to examine gender differences in network differences;- Temporal networks assume stationarity.,The study highlights the need for future research to explore the dynamics of affect in clinical samples with more frequent data collection.
008.txt,An investigation of emotion dynamics in major depressive disorder patients and healthy persons using sparse longitudinal networks,https://doi.org/10.1371/journal.pone.0178586,Netherlands,Depressed network (n = 27); Non-depressed network (n = 27),"Clinical & health-related, Non-clinical (i.e. healthy)",Smartphone; PsyMate,3.0,30.0,14.0,No,"R, version (2.3.0)","nlme (for multilevel VAR models)

Amelia (for multiple imputation of data points, for sparse VAR models)",Yes,Yes,No,No,N/S,No,No,Yes,"- Emotion items were scored on a 7-point scale but the model treated them as continuous, which could have influenced results.- Only VAR models with time lag 1 were estimated, limiting the model.- Coefficients used were raw coefficients; standardizing coefficients could yield different results.- Small sample size may have limited power to detect associations between individual network densities and severity measures.- The affect items may not be comparable to depression symptoms; some important symptoms like suicidality, eating, and sleeping problems were not assessed.- Longer interval between evening and morning measurements may have introduced additional noise.","Uncertain about the estimation packages used, as the paper does not explicitly mention which R packages were used for network estimation. Also, it is unclear whether the authors checked for potential redundancy between nodes before running the network model."
009.txt,Dynamics Among Borderline Personality and Anxiety Features in Psychotherapy Outpatients: An Exploration of Nomothetic and Idiographic Patterns,http://dx.doi.org/10.1037/per0000363,United States,41.0,Clinical & health-related,Smartphone,6.0,21.0,6.0,No,R,gimme (0.4-2),Yes,No ,No,No,N/S,No,No,No,- Small sample size;- Limited time for data collection;- Possible lack of variability in symptoms;,"The study highlights the idiographic nature of symptom dynamics, suggesting that individual symptom relationships may differ significantly."
010.txt,Dynamic Network Analysis of Negative Emotions and DSM-5 Posttraumatic Stress Disorder Symptom Clusters During Conflict,https://doi.org/10.1002/jts.22433,Israel,96.0,Clinical & health-related (people exposed to traumatic event),Smartphone,2.0,30.0,14.0,Yes (theoretically checked),R,"networktools (1.2.1)

mlVAR (0.4.1)",Yes,Yes,Yes,No,qgraph,No,Yes,No,- Limited generalizability due to specific context of conflict exposure; - Potential recall bias due to retrospective assessments; - Sample size may not be sufficient for complex models.,"The study primarily focuses on the dynamic associations during a specific conflict, which may not generalize to other contexts."
011.txt,Dynamic networks of PTSD symptoms during conflict,https://doi.org/10.1017/S0033291718000351,Israel,96.0,Clinical & health-related (people exposed to traumatic event),Smartphone,2.0,30.0,20.0,No,R,"mlVAR (0.3.3)

R Bootnet (to conduct an alternative between-persons network)",Yes,Yes,Yes,No,N/S,No,No,No,"- Did not include a sample with PTSD diagnosis, limiting generalizability;- Data collected during conflict period, findings may not be generalizable after exposure has ceased;- Methodological limitations of multilevel network analysis model: lack of fit statistics, only models linear processes, assumes stationarity;- Did not include other covariates (gender, trauma history, severity of exposure) due to small sample size and power limitations.","Unsure whether the code used in the analysis was publicly available, as the paper provided an OSF link but did not explicitly state code availability."
