file,field,ground_truth,prediction
002.txt,n_nodes,10.0,12
002.txt,network_types_between_person,Yes,"temporal network, contemporaneous network, between-subjects network"
002.txt,data_declared_available,No,1
002.txt,notes,The study's findings may not generalize beyond the specific demographic of Dutch undergraduate psychology students.,The study was not preregistered. Code and data are available in the online supplementary materials. The authors note that the between-subjects partial correlations were calculated differently than the default mlVAR method to address implausible correlations.
003.txt,collection_device,"Palmtop (Psymate) - (reported in previous article; Kramer et al., 2014)",Smartphone
003.txt,estimation_packages,nan,igraph (in R)
003.txt,network_types_contemporaneous,No,"contemporaneous network, temporal network"
003.txt,network_types_between_person,Yes (they call it a person-mean network),"contemporaneous network, temporal network"
003.txt,limitations,N/S,- Limited to 5 days of data; - No formal statistical test for centrality comparisons; - Cross-sectional networks may not reflect causal dynamics; - Sample size may be insufficient for robust network estimation.
003.txt,notes,The country of data collection was inferred from the authors' affiliations. The collection device was not specified in the paper.,"The paper does not explicitly state whether code or data are publicly available. The authors mention using STATA and R, but no repository or link is provided. Preregistration status is not mentioned."
004.txt,sample_type,Non-clinical (i.e. healthy),Clinical & health-related
004.txt,estimation_packages,nan,qgraph 1.6.9
004.txt,network_types_contemporaneous,No,"temporal network, contemporaneous network"
004.txt,centrality_test,No,1
004.txt,notes,Estimation packages used for network estimation were not specified in the paper; The collection device for Dataset 2 was assumed to be 'Palmtop' based on similarity with Dataset 1.,The paper does not mention preregistration. Code and data are declared available in the appendices. The authors note that future research should focus on developing ancestral graphs for multilevel analyses.
005.txt,collection_device,"Computer (reported in previous article; Lemmens et al., 2011)",Paper and pen
005.txt,n_timepoints,1 / week - (before each therapy session),14 weekly assessments (average)
005.txt,n_days,3-20 (M = 14),20 weeks (average)
005.txt,estimation_packages,N/S,qgraph 0.4.10
005.txt,centrality_test,No,1
005.txt,limitations,- Results are based solely on depressed individuals; comparison with healthy individuals is needed;- The data were collected at weekly intervals; different time scales might produce different dynamics,- Small sample size; - Lack of diversity in sample; - Limited to clinical population; - BDI-II may not capture differences between therapies; - No person-specific network analysis due to computational constraints
006.txt,collection_device,Digital watch; Paper and pen; palmtops (for validation study),Smartphone
006.txt,n_timepoints,Main sample: 10; Validation sample: 11,11 times per day
006.txt,network_types_temporal,Yes,contemporaneous network
006.txt,network_types_contemporaneous,No,contemporaneous network
006.txt,notes,I am not sure whether the authors checked for potential redundancy between nodes before running the network model.,"The paper does not mention preregistration. Code and data are declared available in appendices. Validation dataset used different neuroticism scales and population, which may affect generalizability."
007.txt,n_days,56.0,8 weeks
007.txt,estimation_packages,"mlVAR

lme4 (for autocorrelation multilevel models, used to investigate temporal autocorrelation)","m/VAR (Epskamp et al., 2016)"
007.txt,notes,The study highlights the need for future research to explore the dynamics of affect in clinical samples with more frequent data collection.,The paper does not explicitly state whether code or data are publicly available. Preregistration status is not mentioned in the paper. Supplementary materials are referenced but not detailed in the provided text.
008.txt,estimation_packages,"nlme (for multilevel VAR models)

Amelia (for multiple imputation of data points, for sparse VAR models)",glmnet 4.1-3
008.txt,network_types_contemporaneous,Yes,temporal network
008.txt,visualisation_packages,N/S,qgraph 1.6.9
008.txt,code_declared_available,No,1
008.txt,notes,"Uncertain about the estimation packages used, as the paper does not explicitly mention which R packages were used for network estimation. Also, it is unclear whether the authors checked for potential redundancy between nodes before running the network model.",The paper does not mention preregistration. Code is available from the first author. Data is available at the University of Groningen data repository.
009.txt,sample_size,41.0,42 participants
009.txt,network_types_temporal,Yes,contemporaneous network
009.txt,network_types_contemporaneous,No ,contemporaneous network
009.txt,visualisation_packages,N/S,qgraph
009.txt,code_declared_available,No,1
009.txt,notes,"The study highlights the idiographic nature of symptom dynamics, suggesting that individual symptom relationships may differ significantly.","The paper does not explicitly state whether the study was preregistered. Code for GIMME is available via the R package 'gimme' (Lane et al., 2018), but the dataset is not publicly available. The authors mention that the data were collected for a larger study, but no public repository or link is provided."
