file,field,ground_truth,prediction
002.txt,doi,https://dx.doi.org/10.1037/xge0000528,10.1037/gpr0000030
002.txt,sample_type,Non-clinical (i.e. healthy),Clinical & health-related
002.txt,n_nodes,10.0,12
002.txt,data_declared_available,No,1
002.txt,limitations,"- Sample is limited to undergraduate psychology students;- Low levels of depression symptoms, loneliness, and stress in the sample;- Potential bias due to participants being aware of the study's purpose.",- Student sample (non-clinical); - Potential recall bias; - Data did not meet all assumptions of multivariate normality; - No formal test for centrality differences between groups; - Limited power to detect small edge coefficients in partial correlation network.
002.txt,notes,The study's findings may not generalize beyond the specific demographic of Dutch undergraduate psychology students.,"The paper does not explicitly state whether it was preregistered. The authors mention that data, materials, and findings have not been shared online prior to resubmitting the revised manuscript, which may imply a lack of preregistration. However, this is not definitive."
003.txt,collection_device,"Palmtop (Psymate) - (reported in previous article; Kramer et al., 2014)",Smartphone
003.txt,estimation_packages,nan,igraph (in R)
003.txt,network_types_contemporaneous,No,"contemporaneous network, temporal network"
003.txt,network_types_between_person,Yes (they call it a person-mean network),"contemporaneous network, temporal network"
003.txt,limitations,N/S,- Cross-sectional networks may not reflect causal symptom dynamics; - Limited to 7 mood items; - No formal statistical test for centrality comparisons; - Data not publicly available.
003.txt,notes,The country of data collection was inferred from the authors' affiliations. The collection device was not specified in the paper.,"The paper does not mention preregistration. Code and data availability are not explicitly stated in the paper, but the authors may have made them available through supplementary materials or repositories. The centrality measures were computed but not formally tested for statistical significance between groups."
004.txt,sample_type,Non-clinical (i.e. healthy),Clinical & health-related
004.txt,estimation_packages,nan,qgraph 1.6.9
004.txt,centrality_test,No,1
004.txt,limitations,"- Lack of generalizability due to sample being undergraduates from Belgium; - Limited number of emotions assessed, especially positive emotions; - Only unique effects of edges are considered, possibly missing explained variance; - Spurious relationships in networks due to not capturing full emotional processes; - Correlational study design; experimental setup needed.",- Small sample size; - Lack of diversity in sample; - Centrality measures may be affected by sampling error due to composites of many parameters
004.txt,notes,Estimation packages used for network estimation were not specified in the paper; The collection device for Dataset 2 was assumed to be 'Palmtop' based on similarity with Dataset 1.,The paper does not mention preregistration. Code and data are declared available in online appendices.
005.txt,collection_device,"Computer (reported in previous article; Lemmens et al., 2011)",Paper and pen
005.txt,n_timepoints,1 / week - (before each therapy session),14 weekly assessments (average)
005.txt,estimation_packages,N/S,"mlVAR, qgraph 0.4.10"
005.txt,centrality_test,No,1
005.txt,limitations,- Results are based solely on depressed individuals; comparison with healthy individuals is needed;- The data were collected at weekly intervals; different time scales might produce different dynamics,- Small sample size; - Lack of diversity in sample; - Limited to clinical population; - No person-specific network analysis; - No formal test for redundancy/conceptual overlap; - No mention of data availability or code availability in the paper.
005.txt,notes,"I am not sure whether the authors checked for potential redundancy between nodes before running the network model. Also, there is no mention of preregistration or data/code availability in the paper.","The paper does not mention preregistration. Code and data availability are not explicitly declared in the paper, but may be available through the authors or supplementary materials. The study used paper-and-pencil administration, not digital devices."
006.txt,country,Netherlands; Belgium,"Belgium, The Netherlands, The Netherlands, The Netherlands, The Netherlands"
006.txt,collection_device,Digital watch; Paper and pen; palmtops (for validation study),Smartphone
006.txt,n_timepoints,Main sample: 10; Validation sample: 11,11 times a day
006.txt,notes,I am not sure whether the authors checked for potential redundancy between nodes before running the network model.,"The paper does not mention preregistration. The code and data are declared available in the appendices. The validation dataset was used for replication, but the paper does not specify if the validation dataset was preregistered or if the main analysis was preregistered."
007.txt,n_days,56.0,8 weeks
007.txt,notes,The study highlights the need for future research to explore the dynamics of affect in clinical samples with more frequent data collection.,"The paper does not mention preregistration. The authors state that supplementary materials are available online at the provided DOI, but do not specify if code or data are publicly available. The paper was published in 2019, and no pre-registration link was found."
008.txt,sample_size,Depressed network (n = 27); Non-depressed network (n = 27),54 participants
008.txt,estimation_packages,"nlme (for multilevel VAR models)

Amelia (for multiple imputation of data points, for sparse VAR models)",glmnet 4.1-3
008.txt,network_types_contemporaneous,Yes,temporal network
008.txt,visualisation_packages,N/S,qgraph 1.6.9
008.txt,code_declared_available,No,1
008.txt,notes,"Uncertain about the estimation packages used, as the paper does not explicitly mention which R packages were used for network estimation. Also, it is unclear whether the authors checked for potential redundancy between nodes before running the network model.",The paper does not mention preregistration. The code is available from the first author. The data is available at the University of Groningen repository.
009.txt,sample_size,41.0,42 participants
009.txt,network_types_temporal,Yes,contemporaneous network
009.txt,network_types_contemporaneous,No ,contemporaneous network
009.txt,code_declared_available,No,1
009.txt,notes,"The study highlights the idiographic nature of symptom dynamics, suggesting that individual symptom relationships may differ significantly.","The study used GIMME, which is a novel method for person-specific modeling. The authors did not explicitly state whether they checked for redundancy between nodes. The code for GIMME is available on GitHub, but the specific code used in this study is not publicly available. The data is not publicly available."
010.txt,title,Dynamic Network Analysis of Negative Emotions and DSM-5 Posttraumatic Stress Disorder Symptom Clusters During Conflict,Dynamic Networks of Negative Emotions and PTSD
010.txt,redundancy,Yes (theoretically checked),0
010.txt,network_types_between_person,Yes,"temporal network, contemporaneous network"
010.txt,notes,"The study primarily focuses on the dynamic associations during a specific conflict, which may not generalize to other contexts.",The study was not preregistered. Code is available in supplementary materials. Data availability is not explicitly stated but may be available upon request.
011.txt,centrality_test,No,1
011.txt,visualisation_packages,N/S,qgraph
011.txt,code_declared_available,No,1
011.txt,data_declared_available,No,1
