file,field,ground_truth,prediction
002.txt,n_nodes,10.0,12
002.txt,network_types_between_person,Yes,"temporal network, contemporaneous network, between-subjects network"
002.txt,data_declared_available,No,1
002.txt,notes,The study's findings may not generalize beyond the specific demographic of Dutch undergraduate psychology students.,The paper does not mention preregistration. Code and data are declared available in the supplementary materials.
003.txt,collection_device,"Palmtop (Psymate) - (reported in previous article; Kramer et al., 2014)",Smartphone
003.txt,estimation_packages,nan,igraph (in R)
003.txt,network_types_contemporaneous,No,"contemporaneous network, temporal network"
003.txt,network_types_between_person,Yes (they call it a person-mean network),"contemporaneous network, temporal network"
003.txt,limitations,N/S,"- The study only compared cross-sectional and dynamic networks, not different types of cross-sectional networks; - The study did not report on the statistical significance of the differences in centrality estimates between network types; - The study did not use a formal statistical test to compare centrality estimates between groups."
003.txt,notes,The country of data collection was inferred from the authors' affiliations. The collection device was not specified in the paper.,"The paper does not mention preregistration. Code and data availability are not explicitly stated in the paper, but the authors may have made them available through supplementary materials or repositories. The study used STATA for analysis and R for visualization, but the specific packages used for network estimation are not fully detailed."
004.txt,sample_type,Non-clinical (i.e. healthy),Clinical & health-related
004.txt,estimation_packages,nan,qgraph 1.6.9
004.txt,centrality_test,No,1
004.txt,data_declared_available,"Yes, Just for Dataset #1 (in Supplemental Materials)",0
004.txt,notes,Estimation packages used for network estimation were not specified in the paper; The collection device for Dataset 2 was assumed to be 'Palmtop' based on similarity with Dataset 1.,"The paper does not explicitly state whether the study was preregistered. Code for replication is provided in the appendices, but data availability is not mentioned."
005.txt,collection_device,"Computer (reported in previous article; Lemmens et al., 2011)",Paper and pen
005.txt,n_timepoints,1 / week - (before each therapy session),14 weekly assessments (average)
005.txt,n_days,3-20 (M = 14),20 weeks
005.txt,estimation_packages,N/S,qgraph 0.4.10
005.txt,centrality_test,No,1
005.txt,limitations,- Results are based solely on depressed individuals; comparison with healthy individuals is needed;- The data were collected at weekly intervals; different time scales might produce different dynamics,- Small sample size; - Lack of diversity in sample; - Limited to two therapy groups; - BDI-II may not capture differences between therapies; - No person-specific analyses due to computational constraints
005.txt,notes,"I am not sure whether the authors checked for potential redundancy between nodes before running the network model. Also, there is no mention of preregistration or data/code availability in the paper.","The paper does not explicitly state whether code or data are publicly available. The authors mention that person-specific analyses are not computationally feasible at the time of publication, which may limit the generalizability of findings. The study used a modified version of the multilevel-VAR method, which may not be fully reproducible without additional details."
006.txt,collection_device,Digital watch; Paper and pen; palmtops (for validation study),Beeper
006.txt,network_types_contemporaneous,No,"temporal network, contemporaneous network"
007.txt,collection_device,"Paper and pen for questionnaires (reported in previous article, Gershon et al., 2012); actiwatch for actigraphy (from Respironics)",Actiwatches
007.txt,n_days,56.0,8 weeks
007.txt,estimation_packages,"mlVAR

lme4 (for autocorrelation multilevel models, used to investigate temporal autocorrelation)","m/VAR (Epskamp et al., 2016)"
007.txt,notes,The study highlights the need for future research to explore the dynamics of affect in clinical samples with more frequent data collection.,The paper does not mention preregistration. Code and data availability are not explicitly stated in the main text or supplementary materials. The authors may have made them available but it is not confirmed.
008.txt,sample_size,Depressed network (n = 27); Non-depressed network (n = 27),54 participants
008.txt,estimation_packages,"nlme (for multilevel VAR models)

Amelia (for multiple imputation of data points, for sparse VAR models)",glmnet 4.1-3
008.txt,network_types_contemporaneous,Yes,temporal network
008.txt,visualisation_packages,N/S,qgraph 1.6.9
008.txt,code_declared_available,No,1
